,English,SimplifiedChinese,TraditionalChinese,Russian
Fish,Fish,鱼肉,魚肉,Рыба
Fish will be caught after this delay (in ms).,Fish will be caught after this delay (in ms).,经过拉杆延迟的事件后，鱼将会被捕获(单位: 毫秒),經過拉桿延遲的事件後，魚將會被捕獲(單位: 毫秒),Рыба будет поймана после установленной задержки (в ms).
"Fish, Lizard, Frog, Flying animals.","Fish, Lizard, Frog, Flying animals.",鱼、蜥蜴、青蛙、飞行动物。,魚、蜥蜴、青蛙、飛行動物。,"Рыба, Ящерицы, Жабы."
Fishing,Fishing,钓鱼,釣魚,Fishing
Fishing Point,Fishing Point,垂钓点,垂釣點,Рыболовная точка
Fix item positions,Fix item positions,固定物品位置,固定物品位置,Fix item positions
"Fix positions: Only if item was found in this range about entity position,
	 its position will be fixed.
New item detecting: Only if item not found in this range about entity position,
	 it be detected as new.","Fix positions: Only if item was found in this range about entity position,
	 its position will be fixed.
New item detecting: Only if item not found in this range about entity position,
	 it be detected as new.","固定位置: 只有在关于实体位置的这个范围内找到物品，
	它的位置才会被固定。
新物品检测: 只有在关于实体位置的这个范围内找不到项目时，
	才会被检测为新物品。","固定位置: 只有在關於實體位置的這個範圍內找到物品，
	它的位置才會被固定。
新物品檢測: 只有在關於實體位置的這個範圍內找不到項目時，
	才會被檢測為新物品。","Fix positions: Only if item was found in this range about entity position,
	 its position will be fixed.
New item detecting: Only if item not found in this range about entity position,
	 it be detected as new."
Fixed Zoom,Fixed Zoom,固定视距,固定變焦,Fixed Zoom
Flaming Flower Stamen,Flaming Flower Stamen,烈焰花,烈焰花,Flaming Flower Stamen
Floating Anemo Slime,Floating Anemo Slime,风史莱姆,風史萊姆,Floating Anemo Slime
Floating Fungus,Floating Fungus,浮游水蕈兽,浮遊水蕈獸,Floating Fungus
Flora chest,Flora chest,地脉花,芙蘿拉寶箱(暫),Сундук семян
Fluorescent Fungus,Fluorescent Fungus,幽灯蕈,幽燈蕈,Светящийся Гриб
Focal length,Focal length,焦距,焦距,Focal length
Foggy,Foggy,雾天,雾天,Foggy
Font Color,Font Color,字体颜色,字體顏色,Цвет шрифта
Font Size,Font Size,字体大小,字體大小,Размер шрифта
Font outline,Font outline,字体描边大小,字體描邊大小,Шрифт линии
Font size of name or distance.,Font size of name or distance.,名称或距离的字体大小,名稱或距離的字體大小,Размер шрифта имени/дистанции.
Forest Regalia,Forest Regalia,森林王器,森林王器,Forest Regalia
Forward,Forward,前,前,Forward
Forward HotKey,Forward HotKey,向前热键,向前熱鍵,Forward HotKey
Founder:,Founder:,"创始人: ","創始人: ",Основатель:
FountainRain,FountainRain,喷泉雨,喷泉雨,FountainRain
Fov Changer,Fov Changer,视场修改,視場修改,FOV
Fowl,Fowl,禽肉,禽肉,Fowl
Fox,Fox,狐狸,狐貍,Лиса
Fragrant Cedar Wood,Fragrant Cedar Wood,垂香木,垂香木,Fragrant Cedar Wood
Free Camera,Free Camera,自由相机,自由相機,Свободная камера
Freedom-Sworn,Freedom-Sworn,苍古自由之誓,蒼古自由之誓,Freedom-Sworn
Freeflight Mode,Freeflight Mode,自由飞行模式,自由飛行模式,Режим свободного полета
Freeflight mode,Freeflight mode,自由飞行模式,自由飛行模式,Режим свободного полёта
Freeze Character Animation,Freeze Character Animation,冻结角色动作,凍結角色動作,Остановить Анимации Персонажа
Freeze Enemies,Freeze Enemies,冻结敌人,凍結敵人,Заморозка Врагов
Freeze animation,Freeze animation,冻结动画,凍結動畫,Остановка анимации
Freezes all enemies' animation speed.,Freezes all enemies' animation speed.,冻结所有敌人的动作,凍結所有敵人的動作,Останавливает скорость анимации всех врагов.
Freezes the active character's animation.,Freezes the active character's animation.,冻结角色的动作动画,凍結角色的動作動畫,Останавливает анимации активного персонажа.
Frog,Frog,青蛙,青蛙,Жаба
Frostbearer,Frostbearer,忍冬之果,忍冬之果,Frostbearer
Frostbearing Tree,Frostbearing Tree,忍冬之树,忍冬之樹,Frostbearing Tree
Frozen,Frozen,冰封,冰封,Замороженный
Fruit of Fulfillment,Fruit of Fulfillment,盈满之实,盈滿之實,Fruit of Fulfillment
Full contributor list:,Full contributor list:,所有贡献者:,所有貢獻者:,Полный список разработчиков:
Fungi,Fungi,蕈兽,蕈獸,Fungi
Game Speed,Game Speed,全局加速,遊戲速度,Скорость игры
Ganyu,Ganyu,甘雨,甘雨,Ganyu
Gather detect supported,Gather detect supported,支持收集检测,支援收集檢測,Gather detect supported
Gather detecting,Gather detecting,收集物品检测,收集物品檢測,Gather detecting
General,General,通用,通用,Общий
General Crab,General Crab,将军蟹,將軍蟹,General Crab
Geo,Geo,岩,岩,Geo
Geo Crystalfly,Geo Crystalfly,岩晶蝶,岩晶蝶,Geo Crystalfly
Geo Hypostasis,Geo Hypostasis,无相之岩,無相之岩,Гео гипостазис
Geo Puzzle,Geo Puzzle,岩方碑,岩方碑,Geo puzzle
Geo Sigil,Geo Sigil,岩之印,岩之印,Гео печать
Geoculus,Geoculus,岩神瞳,岩神瞳,Геокул
Geogranum,Geogranum,岩种子,岩種子,Геогранум
Geography,Geography,地理,地理,Geography
Geovishap,Geovishap,岩龙蜥,岩龍蜥,Геовишап
Geovishap Hatchling,Geovishap Hatchling,幼岩龙蜥,幼岩龍蜥,Детёныш Геовишапа
GitHub link,GitHub link,GitHub链接,GitHub連結,GitHub link
Glaze Lily,Glaze Lily,琉璃百合,琉璃百合,Глазурная лилия
Glaze Medaka,Glaze Medaka,琉璃花鳉,琉璃花鱂,Glaze Medaka
Glider,Glider,风之翼,風之翼,Планер
"Glider Texture.
Example path: C:\Glider.png","Glider Texture.
Example path: C:\Glider.png","风之翼纹理。
示例路径: C:\Glider.png","風之翼材質。
範例路徑: C:\Glider.png","Glider Texture.
Example path: C:\Glider.png"
Global,Global,全局,全局,Global
Global colors,Global colors,全局颜色,全局顏色,Global colors
God Mode,God Mode,无敌模式,無敵模式,God Mode
Golden Crab,Golden Crab,黄金蟹,黃金蟹,Golden Crab
Golden Finch,Golden Finch,金团雀,金團雀,Golden Finch
Golden Koi,Golden Koi,金赤假龙,金赤假龍,Golden Koi
Golden Loach,Golden Loach,金鳅鳅,金鰍鰍,Golden Loach
Golden Wolflord,Golden Wolflord,黄金王兽,黃金王獸,Золотой Волчий Вожак
Gorou,Gorou,五郎,五郎,Gorou
Gray Snow Cat,Gray Snow Cat,灰雪猫,灰雪貓,Gray Snow Cat
Graywing Pigeon,Graywing Pigeon,灰羽鸽,灰羽鴿,Graywing Pigeon
Green Horned Lizard,Green Horned Lizard,绿角蜥,綠角蜥,Green Horned Lizard
Grounded Shroom,Grounded Shroom,陆行水本真蕈,陸行水本真蕈,Grounded Shroom
Guide,Guide,指南,指南,Guide
HD,HD,高清,HD,HD
Hakushin Ring,Hakushin Ring,白辰之环,白辰之環,Hakushin Ring
Halberd,Halberd,钺矛,鉞矛,Halberd
Halcyon Jade Axe Marlin,Halcyon Jade Axe Marlin,翡玉斧枪鱼,翡玉斧槍魚,Halcyon Jade Axe Marlin
Hamayumi,Hamayumi,破魔之弓,破魔之弓,Hamayumi
Haran Geppaku Futsu,Haran Geppaku Futsu,波乱月白经津,波亂月白經津,Haran Geppaku Futsu
Harbinger of Dawn,Harbinger of Dawn,黎明神剑,黎明神劍,Harbinger of Dawn
Harra Fruit,Harra Fruit,香辛果,香辛果,Фрукт харра
Harvestable Plant,Harvestable Plant,可收获的植物,可收獲的植物,Harvestable Plant
Head,Head,头部,頭部,Head
"Head Texture.
Example path: C:\Head.png","Head Texture.
Example path: C:\Head.png","头部纹理。
示例路径: C:\Head.png","頭部材質。
範例路徑: C:\Head.png","Head Texture.
Example path: C:\Head.png"
Height,Height,高度,高度,Высота
Henna Berry,Henna Berry,赤念果,赤念果,Henna Berry
Hide Character machine effects.,Hide Character machine effects.,隐藏角色,隱藏角色,Hide Character machine effects.
